iter	Passed	Remaining
245	16464	83928
246	16541	83912
247	16612	83866
248	16681	83809
249	16751	83755
250	16818	83692
251	16885	83622
252	16957	83578
253	17031	83546
254	17105	83517
255	17178	83475
256	17251	83439
257	17330	83427
258	17400	83374
259	17471	83324
260	17539	83262
261	17609	83210
262	17683	83171
263	17755	83128
264	17824	83069
265	17895	83019
266	17966	82967
267	18038	82922
268	18109	82872
269	18183	82837
270	18255	82790
271	18330	82758
272	18402	82708
273	18474	82662
274	18547	82620
275	18616	82559
276	18682	82485
277	18747	82407
278	18810	82320
279	18877	82250
280	18942	82174
281	19013	82123
282	19081	82057
283	19152	82003
284	19233	81996
285	19306	81949
286	19390	81951
287	19488	82016
288	19595	82112
289	19704	82216
290	19807	82293
291	19911	82372
292	20011	82435
293	20122	82545
294	20229	82634
295	20313	82628
296	20384	82566
297	20456	82510
298	20527	82453
299	20596	82387
300	20666	82322
301	20732	82242
302	20833	82301
303	20898	82219
304	20961	82127
305	21023	82031
306	21088	81949
307	21154	81871
308	21219	81789
309	21287	81715
310	21350	81624
311	21414	81540
312	21476	81445
313	21541	81362
314	21608	81289
315	21670	81194
316	21730	81095
317	21795	81012
318	21858	80924
319	21926	80855
320	21994	80782
321	22058	80698
322	22118	80600
323	22189	80537
324	22284	80567
325	22348	80482
326	22410	80391
327	22471	80293
328	22536	80214
329	22597	80118
330	22662	80036
331	22726	79954
332	22793	79880
333	22855	79789
334	22925	79726
335	22995	79664
336	23062	79590
337	23126	79507
338	23193	79431
339	23255	79341
340	23320	79262
341	23384	79179
342	23453	79114
343	23518	79033
344	23581	78945
345	23649	78877
346	23715	78801
347	23783	78731
348	23855	78673
349	23920	78595
350	23988	78526
351	24053	78445
352	24120	78375
353	24187	78301
354	24254	78227
355	24318	78145
356	24383	78068
357	24452	78000
358	24518	77927
359	24579	77836
360	24668	77832
361	24729	77740
362	24794	77662
363	24859	77582
364	24921	77495
365	24986	77417
366	25048	77328
367	25109	77240
368	25174	77161
369	25238	77079
370	25299	76989
371	25363	76908
372	25433	76845
373	25501	76777
374	25567	76701
375	25630	76618
376	25696	76544
377	25763	76471
378	25827	76391
379	25891	76312
380	25956	76233
381	26018	76148
382	26083	76069
383	26143	75978
384	26211	75910
385	26275	75830
386	26341	75757
387	26405	75677
388	26469	75598
389	26536	75525
390	26599	75445
391	26663	75365
392	26730	75293
393	26795	75216
394	26859	75137
395	26922	75057
396	26989	74985
397	27057	74917
398	27121	74840
399	27188	74767
